data,id_point,class,colour,cond_microscm,oxig_mgl,ph,temp_wa_c,temp_air_c,co_total_mgl,dbo _mgl,fósf_total_mgl,nitro_kje_mgl,nitro_amo_mgl,sdiss_total_mgl,solido_total_mgl,turb,clor_a_microgl,Caracteristicas,Complemento,Type
3/14/2013,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,188,4.71,7.45,25.31,21.2,4.63,9,0.15,2.59,0.17,140,172,13.3,,,,
5/15/2013,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,187,6,7.47,21.67,27,6.32,8,0.16,1.32,0.17,142,148,9.12,94.7,,,
7/25/2013,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,193,4.49,7.37,17.81,12,7.17,7,0.16,0.92,0.14,108,124,4.04,37.42,,,
9/25/2013,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,189,5.08,7.48,19.66,15.8,5.91,5,0.14,1.4,0.47,114,130,6.93,,,,
11/21/2013,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,206,10.49,8.77,24.71,27,47.3,49,0.95,8.15,0.59,110,194,3.82,954.26,,,
9/1/2014,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,205,17.83,10.23,29.12,28,28.1,20,0.55,3.53,<0.1,134,202,159,620.14,,,
3/26/2014,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,197,5.04,7.61,24.49,23.9,13.2,9,0.21,1.73,0.29,132,146,12.3,,,,
5/15/2014,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,195,12.7,9.17,23.29,24.6,9.53,29,0.42,3.52,0.22,144,182,22,311.4,,,
7/31/2014,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,198,7.66,7.67,19.15,20.6,5.84,<3,0.12,1.45,0.1,136,162,12.4,51.17,,,
9/25/2014,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,206,11,8.88,21.11,22.4,15,14,0.71,3.2,0.65,146,208,227,,,,
11/13/2014,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,233,7.33,7.74,24.39,28,7.49,8,0.33,4.13,1.88,194,204,42.1,160.38,,,
1/14/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,219,8.25,9.29,27.64,28.7,8.58,19,1,1.25,0.35,138,268,11.9,1470.15,,,
12/3/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,224,4.09,7.28,25.73,25.2,5.53,6,0.3,2.69,1.67,116,142,4.77,,,,
4/23/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,211,2.57,7.12,23.61,22.4,6.23,5,0.19,1.3,0.15,176,184,6.17,35.75,,,
5/21/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,215,6.07,7.77,21.05,24.5,5.49,5,0.18,1.06,0.21,188,210,5.98,32.34,,,
